type,set,faction,name,text
Unit,Legendary,Echoes of Eternity [Set8],Gentle Grazer,Ambush Summon: Play a random non-power card with cost 2 or less from your deck. Corrupted 6
Unit,Echoes of Eternity [Set8],Time,Gentle Grazer Shade,"At the end of your turn, this gets -1 Health. Pay 6 and sacrifice Gentle Grazer Shade to play a random non-power card with cost 2 or less from your deck."
Unit,Legendary,The Fall of Argenport [Set4],"Gnash, Pridemaster","Tribute: +3/+3. When Gnash attacks, discard the top card of your deck. If it was a unit, your other units are invulnerable to damage this turn."
Attachment,Weapon,Uncommon,Healer's Cloak,Summon: You gain Health equal to the wielder's Health.
Unit,Common,The Dusk Road [Set3],Hissing Spiketail,"Overwhelm When you play another Dinosaur, you gain 1 Health."
Unit,Common,The Empty Throne [Set1],Horned Vorlunk,Overwhelm
Unit,Rare,The Fall of Argenport [Set4],Insatiable Serasaur,"When Insatiable Serasaur attacks, spend your remaining power to give it that much Strength/ Health."
Unit,Uncommon,The Dusk Road [Set3],Insistent Automaton,Summon: Put one of your other units into your hand.
Spell,Common,The Dusk Road [Set3],Lost in the Mist,Put an enemy unit into the enemy player's hand with cost increased by 2.
Unit,Uncommon,The Fall of Argenport [Set4],Lumen Attendant,Voidbound Ultimate: Pay 3 and discard a card to draw another card from your void. Play a 1/1 Wisp.
Unit,Legendary,The Dusk Road [Set3],Lumen Reclaimer,Summon: Shuffle a void of your choice into its owner's deck. Entomb: Put four copies of Lumen Reclaimer into your deck.
Spell,Fast Spell,Uncommon,Maddening Whisper,Put an enemy unit into its owner's hand. Amplify 2: Put an additional enemy unit into its owner's hand.
Unit,Rare,The Empty Throne [Set1],Marisen's Disciple,"Summon: Choose and play a 1/1 Scorpion, 2/2 Locust, or 3/3 Sandcrawler."
Attachment,Relic,Rare,Memento Mori,+1 Maximum Power. Summon: Gain Fire Time Justice Primal Shadow.
Spell,Fast Spell,Common,Mute,Silence two enemy units.
Unit,Uncommon,Defiance [Set5],Pompous Historian,Summon: Draw a Sentinel or relic from the top five cards of your deck. Discard the rest.
Unit,Common,The Fall of Argenport [Set4],Primeval Plover,Flying Summon: Give one of your other units +1/+2 while you have Primeval Plover.
Unit,Uncommon,"Campaign
Trials of Grodov [Set1006]",Saber-Tooth Prideleader,Ambush Summon: Kill an enemy relic or you gain 3 Health.
Unit,Uncommon,The Fall of Argenport [Set4],Sandspout Mirage,Ambush Summon: Ready your other units.
Unit,Legendary,The Empty Throne [Set1],Sandstorm Titan,Endurance Units can't fly.
Unit,Common,Dark Frontier [Set6],Sauropod Crasher,Warp
Unit,Common,Defiance [Set5],Sirocco Glider,Flying while you have a relic.
Unit,Uncommon,Omens of the Past [Set2],Snapping Brushstalker,"When an enemy spell is played, put Snapping Brushstalker into your hand."
Unit,Rare,The Empty Throne [Set1],Steward of Prophecy,Summon: Silence a unit in the enemy hand.
Unit,Uncommon,The Fall of Argenport [Set4],Stinging Wind,Flying on the enemy turn.
Spell,Rare,The Dusk Road [Set3],Stirring Sand,"Play a Sentinel from your void, exhausted. For each of your Explorers, you may pay 2 and exhaust it to play an additional Sentinel from your void exhausted."
Unit,Common,Omens of the Past [Set2],Striped Araktodon,NONE
Unit,Uncommon,Defiance [Set5],Temple Artisan,Pledge Empower: Double Temple Artisan's Strength/ Health this turn.
Unit,Uncommon,Dark Frontier [Set6],Temporal Adept,Warp Your spells have Warp .
Site,Legendary,Defiance [Set5],The Praxis Arcanum,"Your units and relics cost 1 less. Talir's Agenda: Accelerate, Refresh, Viper's Bite."
Unit,Legendary,Defiance [Set5],Thrashing Dune Wurm,Your units with Killer have +1/+1. Amplify 2: Give one of your units Killer .
Unit,Uncommon,The Empty Throne [Set0],Timekeeper,+1/+1 for each of your Time influence.
Unit,Common,The Empty Throne [Set1],Towertop Patrol,Flying
Unit,Uncommon,Defiance [Set5],Twinfang Cobra,Deadly Entomb: Create and draw a +2 Strength Viper Fang with Deadly .
Attachment,Relic,Rare,Vault of the Praxis,"When you play your second unit in a turn, draw a card."
Unit,Legendary,"Campaign
Dead Reckoning [Set1003]",Venom Rider,"Charge , Deadly Ultimate: Pay 5 and give Venom Rider -1/-1 to play a 1/1 Sandstrider with Deadly and Killer ."
Spell,Fast Spell,Common,Viper's Bite,Give one of your units Deadly .
Attachment,Relic,Rare,Waystone Fragment,Your units have +1/+1. Spellcraft 3: Play Gathering Lights.
Unit,Legendary,The Flame of Xulta [Set7],"Woda, Grodov's Listener",Summon: Invoke Time. Mastery 5: +3/+3 and Invoke Time. Pay 8 to give Woda +3/+3 this turn.
Attachment,Relic,Common,Wurmstone,"When you play a spell, sacrifice Wurmstone to play a 7/7 Sand Wurm exhausted."
Unit,Common,The Empty Throne [Set1],Xenan Guardian,Endurance Ultimate: Pay 8 to give Xenan Guardian +5/+5.
Attachment,Relic,Rare,Xenan Obelisk,Your units have +1/+1. They have +2/+2 instead while you have 8 or more Maximum Power.
Unit,Legendary,The Fall of Argenport [Set4],"Alhed, Mount Breaker",Inspire: Double the Strength/ Health of units you draw. Ultimate: Pay 4 and put one of your other units on top of your deck to give Alhed its Strength/ Health.
Unit,Common,Omens of the Past [Set2],Amaran Archaeologist,Summon: Play a Sigil of your choice from your deck Depleted .
Unit,Uncommon,Defiance [Set5],Ancient Excavator,Summon: Draw a relic from your void.
Spell,Legendary,The Flame of Xulta [Set7],Anthem of Grodov,Each unit in your hand gets +4/+4 and Endurance .
Unit,Common,Omens of the Past [Set2],Awakened Sentinel,"Endurance , Warp"
Unit,Uncommon,Omens of the Past [Set2],Battle-Tested Stranger,Strangers have +2/+2.
Unit,"Campaign
Dead Reckoning [Set1003]",Time,Bridled Sandstrider,"Deadly , Killer"
Spell,Fast Spell,Uncommon,Confiscate,Kill an attachment. Draw a card.
Unit,Common,Dark Frontier [Set6],Corrupted Behemoth,Overwhelm Pay 3 and twist Corrupted Behemoth to gain 2 Health.
Attachment,Relic,Rare,Etched Monolith,Your units have Charge . Pay 10 and sacrifice Etched Monolith to have your Health become 25.
Spell,Uncommon,The Dusk Road [Set3],First Watch,Night fall. You gain 8 Health.
Unit,Common,The Dusk Road [Set3],Fishing Dinoch,Dinosaur Ally: +3/+3.
Unit,Uncommon,The Dusk Road [Set3],Frenzied Omnivore,"When an enemy unit dies, Frenzied Omnivore gets +1/+1. Summon: You may discard a card to give Frenzied Omnivore Killer ."
Unit,Rare,"Campaign
Into Shadow [Set1004]",Gravewatch Guardian,Overwhelm Tribute: +3/+3 for each unit that went to your void this turn.
Attachment,Relic,Legendary,Grodov's Burden,"Your single-faction units have Exalted . Spellcraft 3: Play Bury the Past. Pay 5 to draw a card. If it's a single-faction unit, play it."
Attachment,Relic,Common,Horn of Plenty,Your units have +1/+1.
Unit,Legendary,The Empty Throne [Set1],Idol of Destran,"While Idol of Destran is in your hand or deck, it gets +1/+1 each time you play a unit."
Unit,Common,Defiance [Set5],Infused Guardian,"Endurance , Pledge Empower: +1/+1."
Unit,Uncommon,The Empty Throne [Set1],Lumen Defender,Deadly Summon: You gain 5 Health.
Unit,Uncommon,The Fall of Argenport [Set4],Mistress of Light,Your Wisps have +1/+1. Tribute: Your Wisps have an additional +1/+1.
Unit,Rare,Defiance [Set5],Moonstone Vanguard,"Endurance , Pledge When Moonstone Vanguard attacks, draw a card. When it blocks, you gain 4 Health."
Unit,Common,The Fall of Argenport [Set4],Pensive Lumen,Tribute: +2/+2.
Unit,Uncommon,The Empty Throne [Set1],Praxis Displacer,Summon: You may put another unit into its owner's hand.
Unit,The Empty Throne [Set1],Time,Rhinarc,Overwhelm
Unit,The Fall of Argenport [Set4],Time,Sand Wurm,NONE
Unit,Uncommon,The Dusk Road [Set3],Sandbinder Sentinel,Summon: Play a Sandbind on an enemy unit with Flying .
Unit,The Empty Throne [Set1],Time,Sentinel,NONE
Spell,Rare,The Empty Throne [Set1],Striking Snake Formation,Your units get Killer .
Unit,Uncommon,Omens of the Past [Set2],Time Weaver,Summon: Double the cost of a card in the enemy hand.
Unit,Common,The Empty Throne [Set1],Towering Terrazon,NONE
Unit,Uncommon,The Empty Throne [Set1],Twinbrood Sauropod,Echo
Unit,Uncommon,Dark Frontier [Set6],Venomous Mount,Deadly Shift 3: Give one of your other units Deadly until Venomous Mount emerges.
Unit,Common,The Flame of Xulta [Set7],Vinepetal Creeper,Muster: +4/+4 and Endurance this turn.
Spell,Uncommon,The Fall of Argenport [Set4],Vital Arcana,Draw two cards. You gain 2 Health.
Unit,Rare,Omens of the Past [Set2],Waystone Infuser,Warp Your power cards have Warp .
Unit,Legendary,The Dusk Road [Set3],Worldbearer Behemoth,"Overwhelm When Worldbearer Behemoth attacks, play 1 random power [if:400591&gt;1, cards, card from your deck. Then, increase this ability by 1."
Unit,Uncommon,The Fall of Argenport [Set4],Wurmic Chanter,"Deadly Tribute: Create and draw a 7/7 Sand Wurm. Once per turn, you may pay 2 to give Wurmic Chanter +4/+4 this turn."
Unit,Legendary,Dark Frontier [Set6],"Xumucan, the Surveyor","Ambush , Warp When Xumucan kills a unit, play a 1/1 Explorer."
Spell,Uncommon,"Campaign
Dead Reckoning [Set1003]",Bury the Past,Put a unit or relic on the bottom of its owner's deck.
Attachment,Weapon,Rare,Divining Rod,Summon: Play all units from the top four cards of your deck that share a skill with the wielder. Discard the rest.
Spell,Legendary,The Fall of Argenport [Set4],End of Days,Warp Draw a Sigil of each faction from your deck. Tribute: Play them Depleted instead.
Unit,Legendary,"Campaign
Trials of Grodov [Set1006]","Gnash, Desert Prince","At the start of your turn, play a 1/1 Aranha with Killer . Summon: Put each unit with Flying on the bottom of its owner's deck."
Unit,Common,The Flame of Xulta [Set7],Grodov's Favored,Summon: You may silence another unit.
Unit,Legendary,Echoes of Eternity [Set8],Grodov's Stranger,"When a player plays a Stranger, they play a random Sigil from their deck. When Grodov's Stranger attacks, shuffle a void of your choice into its owner's deck, then draw two cards."
Spell,Uncommon,Omens of the Past [Set2],Humbug Swarm,Play three 1/1 Humbugs with Flying .
Spell,Legendary,The Dusk Road [Set3],Invoke the Waystones,"Discard the top four cards of your deck, then play the top card of your deck. At the end of your turn, create and draw a copy of Invoke the Waystones with cost increased by 1."
Unit,Legendary,"Campaign
Promises by Firelight [Set1007]","Ixtol, Champion of Grodov","+ Strength/+ Health equal to your Maximum Power. When an enemy unit dies, play a random power card from your deck."
Unit,Rare,Dark Frontier [Set6],Locust Hatcher,"Warp When you play a spell, play a 2/2 Locust with Flying ."
Unit,Uncommon,The Empty Throne [Set1],Lumen Shepherd,Fate: Play a 1/1 Wisp.
Unit,Uncommon,The Flame of Xulta [Set7],Majestic Mandrake,Overwhelm Muster: You gain 5 Health.
Unit,Legendary,The Empty Throne [Set1],Mystic Ascendant,Empower: +2/+2 and draw a card.
Spell,Uncommon,Echoes of Eternity [Set8],Nahid's Distillation,Draw three cards. You may exhaust a unit to play Nahid's Distillation for 2 less.
Spell,Common,Omens of the Past [Set2],Pack Hunt,Your units get +2/+2 this turn.
Unit,Uncommon,The Dusk Road [Set3],Panoptic Guardian,Ambush Fate: You see the top card of each deck this turn.
Spell,Rare,"Campaign
Jekk's Bounty [Set1001]",Passage of Eons,Silence all enemy units. Kill all enemy attachments.
Unit,Uncommon,Omens of the Past [Set2],Plated Goliath,"Overwhelm , Warp"
Unit,Common,Defiance [Set5],Powerbreach Sentinel,"When Powerbreach Sentinel attacks, play the top power card from your deck Depleted ."
Unit,Rare,The Empty Throne [Set1],Predatory Carnosaur,Killer
Spell,Fast Spell,Uncommon,Refreshing Waters,Warp You gain 2 Health for each of your units.
Spell,Legendary,Omens of the Past [Set2],Sentinel's Might,Lifeforce: Your units get + Strength/+ Health equal to the Health you've gained this turn.
Unit,Rare,The Dusk Road [Set3],Serasaur Bull,"Dinosaur Ally: Charge . When Serasaur Bull attacks, kill an enemy attachment."
Unit,Common,Echoes of Eternity [Set8],Sunset Enforcer,"Pledge When you sacrifice another unit, Sunset Enforcer gets +2/+2."
Unit,Rare,Defiance [Set5],Temple Captain,Overwhelm Your other Time units have +1/+1.
Unit,Legendary,The Fall of Argenport [Set4],Thundering Kerasaur,"Overwhelm When either player plays a spell, the other player draws a card."
Unit,Common,The Dusk Road [Set3],Timeworn Sentinel,Endurance Explorer Ally: Draw a card.
Unit,Rare,The Dusk Road [Set3],Tomb Protector,Your cards can't be stolen while Tomb Protector is ready.
Unit,Common,Dark Frontier [Set6],Tremorshocker,Shift 4
Unit,Common,Omens of the Past [Set2],Voyaging Lumen,"Lifeforce: At the end of your turn, if you gained Health, play a 1/1 Wisp."
Spell,Dark Frontier [Set6],Time,Alarming Findings,"For each of your relics, draw a card and play a 3/3 Sandcrawler with Overwhelm ."
Unit,Legendary,The Empty Throne [Set1],Ancient Terrazon,Invulnerable to damage.
Unit,Rare,Echoes of Eternity [Set8],Bhodi &amp; Rox,"Pledge At the end of your turn, if you have no cards in your hand, draw Bhodi &amp; Rox from your deck."
Unit,Uncommon,Echoes of Eternity [Set8],Corpsebloom,Endurance Summon: Put an enemy unit into its owner's hand. Corrupted 3
Unit,Echoes of Eternity [Set8],Time,Corpsebloom Shade,"At the end of your turn, this gets -1 Health. Pay 3 and sacrifice Corpsebloom Shade to put an enemy unit into its owner's hand."
Unit,Common,The Empty Throne [Set1],Dormant Sentinel,Empower: Overwhelm this turn.
Unit,Uncommon,The Empty Throne [Set1],Elysian Pathfinder,Summon: The top unit of your deck gets Echo .
Unit,Rare,Dark Frontier [Set6],Enhanced Excavator,"When one of your units attacks, replenish one power. Shift 5"
Spell,Rare,The Empty Throne [Set1],Hall of Lost Kings,"Play a 5/5 Sentinel. If you have more than 25 Health, play five Sentinels instead."
Unit,Rare,"Campaign
Jekk's Bounty [Set1001]",Hibernating Behemoth,Fate: Hibernating Behemoth gets +2/+2 and you gain 2 Health.
Unit,Legendary,Dark Frontier [Set6],Lumen Colossus,"Endurance When you have no other units, sacrifice Lumen Colossus."
Unit,Rare,The Flame of Xulta [Set7],"Merizo, Gladiator Hero","Exalted Mastery 10: Play three units from the top ten cards of your deck, then discard the rest."
Unit,Uncommon,The Flame of Xulta [Set7],Mountain Goliath,"While Mountain Goliath is in your hand, it gets +2/+2 each time you draw another unit."
Unit,Uncommon,The Empty Throne [Set1],Pillar of Amar,Empower: Play a 5/5 Sentinel.
Unit,Legendary,Defiance [Set5],"Ravid, Insect Master",Summon: Play a power card of your choice from your deck. Empower: Play a 1/1 Humbug with Flying .
Spell,Uncommon,The Fall of Argenport [Set4],Reality Shift,"Warp Put an enemy unit into its owner's hand, plus an additional enemy unit for each of your units with Endurance ."
Unit,Legendary,Omens of the Past [Set2],Rhinarc Huntpack,Warp Ambush while on top of your deck.
Unit,Defiance [Set5],Time,Sanity's Anathema,"Overwhelm Sanity's Anathema has Strength/Health equal to the number of cards in both players' hands. When Sanity's Anathema attacks, draw two cards."
Spell,Rare,"Campaign
Into Shadow [Set1004]",Sea of Teeth,Play five 1/1 Razortooth Aranhas with Killer . Kill all attachments.
Unit,Common,The Fall of Argenport [Set4],Subterranean Sentry,Infiltrate: Endurance .
Unit,Legendary,The Dusk Road [Set3],"Talir, Unbound","At the start of your turn, gain the power you didn't spend last turn. Ultimate: Pay 33 to give Talir +7/+7 and Overwhelm , then take an additional turn after this one."
Unit,Promo,Omens of the Past [Set2],"Tesya, Omen Shaper","Warp When you play another unit while Tesya is on top of your deck, it gets +1/+1. Summon: Your other units get +1/+1."
Unit,Common,Omens of the Past [Set2],Belching Behemoth,Summon: You gain 6 Health.
Spell,Rare,The Dusk Road [Set3],Dinosaur Stampede,Your Dinosaurs get +1/+1 this turn for each of your Dinosaurs.
Unit,Uncommon,The Dusk Road [Set3],Intriguing Ancient,Bond Entomb: Play three 1/1 Explorers.
Unit,Legendary,The Empty Throne [Set1],"Marisen, the Eldest","At the start of each turn, play one of the following at random: 1/1 Scorpion, 2/2 Locust, or 3/3 Sandcrawler."
Unit,Common,Defiance [Set5],Runic Protector,Pledge
Spell,Legendary,The Flame of Xulta [Set7],Sol's Rest,Voidbound Take an additional turn after this one. Decimate: Put each unit into its owner's hand.
Unit,Legendary,The Empty Throne [Set1],"Talir, Who Sees Beyond",Overwhelm Your Time units have Destiny .
Attachment,Relic,Legendary,Temporal Distortion,"Your spells are fast. At the start of the enemy turn, replenish your power."
Unit,Legendary,"Campaign
Homecoming [Set1005]",Apex Predator,"Ambush , Endurance , Killer , Pledge"
Unit,Legendary,The Dusk Road [Set3],Emerging Colossus,"Overwhelm When Emerging Colossus hits the enemy player, draw a card with cost 6 or more from your void and reduce its cost by 6."
Attachment,Relic,Legendary,Pit of Lenekta,"When an enemy unit goes to a void, you gain 2 Health. Empower: Play two 7/7 Sand Wurms exhausted."
Unit,Common,The Dusk Road [Set3],Scourstone Sentinel,"Bond , Overwhelm"
Unit,Uncommon,Dark Frontier [Set6],Blurred Stygimoloch,Overwhelm Blurred Stygimoloch costs 7 less if you have 7 Strength or more among your units.
Unit,Uncommon,The Dusk Road [Set3],Foraging Sauropod,"Bond When Foraging Sauropod attacks, play a 3/3 Dinosaur with Overwhelm ."
Unit,Legendary,The Fall of Argenport [Set4],Royal Guardian,Tribute: You gain Health equal to the number of cards in your void. Infiltrate: Create and draw Hall of Lost Kings.
Unit,Legendary,The Dusk Road [Set3],Novaquake Titan,"Bond When you bond Novaquake Titan, silence each enemy unit and put them into the enemy hand. Then, draw a card for each of your relics."
Power,The Empty Throne [Set1],Justice,Justice Sigil,NONE
Power,Uncommon,The Fall of Argenport [Set4],Crownwatch Standard,Depleted Gain Justice. Transmute 5: Crownwatch Tactic.
Power,Rare,The Flame of Xulta [Set7],Emblem of Kodosh,"Gain Justice and take 1 damage. Decimate: If you have Justice Justice Justice, create and draw a 2/1 Wind Elemental with Flying ."
Power,Common,Dark Frontier [Set6],Emerald Coin,Depleted Gain Justice. Onslaught: Play a +1/+1 weapon on one of your units.
Power,Uncommon,The Empty Throne [Set1],Emerald Monument,Depleted Gain Justice. Transmute 5: +3/+3 Gemblade.
Power,Common,The Dusk Road [Set3],Emerald Waystone,"Gain Justice, then if you have Justice Justice Justice Justice, you gain 1 Armor."
Spell,Common,Defiance [Set5],Endure,Give one of your units invulnerable to damage this turn.
Spell,Uncommon,The Fall of Argenport [Set4],Harmless Question,Stun an enemy unit.
Attachment,Curse,The Flame of Xulta [Set7],Pacify,The cursed unit gets -1 Strength
Unit,Defiance [Set5],Justice,Watchman,Lifesteal Watchman can't attack.
Attachment,Cursed Relic,Rare,Adjudicator's Gavel,Cards can't leave the cursed player's void.
Unit,Uncommon,Omens of the Past [Set2],Crownwatch Squire,"Ultimate: When Crownwatch Squire is a Student , give him +2/+2."
Spell,Fast Spell,Rare,Deafening Word,"Silence a unit with cost 3 or less and each copy in its owner's hand, deck, and void."
Spell,Fast Spell,Uncommon,Defiance,"- Kill an attacking enemy unit with cost 2 or less, or - Stun an attacking enemy unit with cost 3 or more."
Spell,Fast Spell,Common,Detain,Give an enemy unit -6 Strength this turn.
Unit,Common,The Empty Throne [Set1],District Infantry,Empower: +2/+2 this turn.
Spell,Fast Spell,Common,Draw Strength,Give one of your units +1/+1 this turn for each enemy unit. Decimate: The top three units of your deck get +1/+1.
Attachment,Weapon,Uncommon,Elder's Feather,Flying
Unit,Rare,Dark Frontier [Set6],Embargo Officer,Cards can't leave Market s or voids. Shift 1
Spell,Fast Spell,Common,Ensnare,Kill an attacking enemy unit with Flying .
Spell,Fast Spell,Rare,Fearless Crescendo,Give a unit Flying . You may swap a card from your hand with a 3-cost card in your Black Market .
Spell,Fast Spell,Common,Finest Hour,Give a unit +3/+3 this turn.
Spell,Fast Spell,Common,Flash Grenade,Enemy units and relic weapons get -2 Strength this turn.
Unit,Uncommon,The Flame of Xulta [Set7],Ghostblade Outcast,"Exalted , Lifesteal"
Unit,Uncommon,Dark Frontier [Set6],Headhunter,Pay 2 and twist Headhunter to play a Wanted Poster on an enemy unit.
Spell,Common,Dark Frontier [Set6],Heist,Warp Give a unit or weapon in your hand +1/+1.
Unit,Uncommon,The Dusk Road [Set3],Humble Instructor,Pay 2 and exhaust Humble Instructor to give one of your units with two or more battle skills +1/+1.
Attachment,Curse,Common,Inflict Conscience,"When the cursed unit deals damage, kill it."
Unit,Uncommon,The Fall of Argenport [Set4],Ironfist Faithful,Flying Tribute: +1/+1.
Spell,Common,The Fall of Argenport [Set4],Lingering Influence,Draw a Justice Sigil from your deck. Scout .
Unit,Common,Omens of the Past [Set2],Minotaur Oathkeeper,"When you attack the enemy player with exactly one unit, it gets +1/+1 this turn."
Unit,Common,Defiance [Set5],Oni Samurai,Warcry
Attachment,Weapon,Common,Peacekeeper's Helm,Spellcraft 4: Play Rebuke.
Unit,Common,The Flame of Xulta [Set7],Prancing Gryffyn,Flying Summon: You may give another unit Flying this turn.
Spell,Rare,The Flame of Xulta [Set7],Press the Advantage,Give one of your units Aegis . Bargain: Hit the enemy player with two or more Oni.
Spell,Fast Spell,Uncommon,Rolant's Intervention,"- Give an enemy unit -3 Strength this turn, or - Give a unit or weapon in your hand +1/+1, or - Give one of your Valkyrie Aegis ."
Spell,Fast Spell,Common,Sharpened Reflex,Give one of your units +1/+1. Scout .
Unit,Legendary,The Flame of Xulta [Set7],"Shen-Ra, Unbreakable",Invulnerable to damage on your turn. Weapons and curses can't be played on Shen-Ra. Mastery 8: +3/+3 and Endurance .
Unit,Common,The Fall of Argenport [Set4],Spire Spellsword,"When you play a spell, Spire Spellsword gets +1/+1 and Lifesteal this turn."
Unit,Common,The Empty Throne [Set1],Steadfast Deputy,Aegis
Unit,Common,The Dusk Road [Set3],Steady Marshal,Gunslinger Ally: Play a +1/+1 weapon on Steady Marshal.
Spell,Fast Spell,Uncommon,Svetya's Bravery,"Give one of your units +1/+1 this turn. If it's wielding a weapon, it gets Aegis ."
Unit,Uncommon,The Empty Throne [Set1],Tinker Apprentice,Summon: Give a unit or weapon in your hand +1/+1.
Unit,Common,Defiance [Set5],Unmoored Valkyrie,Flying Renown: Lifesteal .
Unit,The Dusk Road [Set3],Justice,Valkyrie,Flying
Unit,Common,The Empty Throne [Set1],Valkyrie Aspirant,Flying Ultimate: Pay 8 to give Valkyrie Aspirant +4/+4.
Unit,Common,Dark Frontier [Set6],Warfront Missionary,NONE
Attachment,Relic,Rare,Whetstone,"When you play a relic weapon, it gets +1 Strength."
Spell,Fast Spell,Common,Arcane Defense,Give two enemy units -1 Strength this turn.
Unit,Common,The Empty Throne [Set1],Argenport Soldier,NONE
Unit,Uncommon,Defiance [Set5],Axe Sharpener,Entomb: Create and draw a copy of each weapon Axe Sharpener was wielding.
Spell,Rare,The Fall of Argenport [Set4],Bar the Gates,Choose a non-power card from the enemy player's hand. They can't play cards with that name for three turns.
Spell,Fast Spell,Common,Barrel Through,Give a unit +3/+3 this turn. Gain Fire or Primal.
Spell,Fast Spell,Rare,Barricade,Give one of your blocking units +8/+8 this turn.
Attachment,Relic,Uncommon,Chancellor's Horn,"Empower: Gain 1 Armor. After the fifth use, sacrifice Chancellor's Horn to draw a unit of your choice with more Health than Strength from your deck."
Unit,Common,Omens of the Past [Set2],Copperhall Herald,Endurance Ultimate: Pay 6 to give Copperhall Herald +2/+2.
Unit,Common,The Dusk Road [Set3],Copperhall Porter,Entomb: Draw a Justice Sigil from your deck.
Unit,Uncommon,The Dusk Road [Set3],Crackshot Fugitive,"When Crackshot Fugitive attacks, she gets +1/+1 this turn for each of your units wielding a weapon."
Attachment,Weapon,Common,Crownwatch Longsword,NONE
Unit,Uncommon,The Empty Throne [Set1],Crownwatch Paladin,"Aegis , Warcry"
Spell,Fast Spell,The Fall of Argenport [Set4],Crownwatch Tactic,Give a unit +3/+3 and Lifesteal this turn.
Spell,Rare,The Dusk Road [Set3],Curfew Enforcement,"Enemy units get -1 Strength. For each of your Valkyrie, you may pay 2 and exhaust it to give enemy units an additional -1 Strength."
Unit,Rare,The Empty Throne [Set1],Eager Owlet,Flying +3 Strength while you have another unit with Flying .
Spell,Uncommon,The Flame of Xulta [Set7],Edict of Kodosh,"Silence a unit. Then if it's Fire or Shadow, kill it."
Unit,Legendary,Echoes of Eternity [Set8],"Eloz, Nightmare General",Your curses can't be killed. Eloz is invulnerable to damage while the enemy player and each of their units are cursed.
Spell,Uncommon,The Fall of Argenport [Set4],Encouragement,Warp Give a unit +2/+2 and Flying this turn.
Spell,Fast Spell,Common,Fall Short,Kill an enemy unit without battle skills.
Attachment,Relic,Rare,Golem Press,"If you have no Steel Golems, you may pay 2 to play a 1/1 Steel Golem with Double Damage ."
Unit,Rare,The Flame of Xulta [Set7],"Hanaka, Loremaster",+1/+1 for each of your other Oni. Mastery 6: Draw a relic weapon of your choice from your deck.
Unit,Rare,Defiance [Set5],"Hojan, Crownbreaker",Empower: +2/+2 and Lifesteal this turn. Renown: Play a Justice Sigil from your deck Depleted .
Unit,Legendary,"Campaign
Dead Reckoning [Set1003]","Icaria, Valkyrie Captain","Flying , Endurance Justice Justice Justice Justice Justice Justice: +3/+2. Ultimate: Pay 3 to play a Justice Sigil from your deck Depleted . Each Valkyrie in your hand gets +1/+1."
Spell,Common,The Empty Throne [Set1],Inspire,The top unit or weapon of your deck gets +1/+1. Draw a card.
Unit,Legendary,The Fall of Argenport [Set4],Ironfist Chancellor,Pay 5 to play a 2/2 Soldier with a copy of each weapon on Ironfist Chancellor. Tribute: Play a +2/+2 Longsword on Ironfist Chancellor.
Spell,Fast Spell,Uncommon,Isolate,Kill an enemy unit that is attacking alone.
Unit,Rare,Dark Frontier [Set6],"Kira, the Prodigy","When Kira gets Strength, Health, or battle skills for the turn, she keeps them."
Unit,Common,The Flame of Xulta [Set7],Kodosh Evangel,Lifesteal Fate: Gain Justice.
Unit,Common,Defiance [Set5],Kosul Diplomat,Summon: You may silence another unit.
Spell,Fast Spell,Legendary,Lay Siege,Ready your units. They get Endurance and invulnerable to damage this turn.
Unit,Common,The Fall of Argenport [Set4],Master-at-Arms,Summon: Give one of your other units +2/+2 while you have Master-at-Arms.
Unit,Omens of the Past [Set2],Justice,Minotaur,NONE
Unit,Common,The Empty Throne [Set1],Minotaur Grunt,Warcry
Unit,Uncommon,Echoes of Eternity [Set8],Monument Curator,+ Strength/+ Health equal to the highest cost among your relics.
Unit,Uncommon,Echoes of Eternity [Set8],Outcast Elite,"Aegis When you play another Unseen, it gets a random battle skill."
Attachment,Relic,Rare,Paladin Oathbook,"When you attack the enemy player with exactly one unit, it gets +1/+1."
Unit,Uncommon,Dark Frontier [Set6],Pioneering Aviator,"When you play a spell, you gain 1 Armor. Flying while you have Armor."
Spell,Uncommon,The Empty Throne [Set1],Privilege of Rank,"Draw a Justice Sigil from your deck. If Privilege of Rank is discarded, play it from your void."
Spell,Fast Spell,Uncommon,Protect,Give a unit or player Aegis .
Unit,Uncommon,The Dusk Road [Set3],Rampart Protector,"When one of your Valkyrie dies, play a 2/2 Soldier."
Spell,Common,The Empty Throne [Set1],Rebuke,Silence and stun a unit.
Spell,Fast Spell,Common,Reinforce,You gain 4 Armor.
Spell,Fast Spell,Uncommon,Reinvigorate,Ready one of your units and give it Endurance . It gets +1/+1 this turn for each of its battle skills.
Unit,Uncommon,Dark Frontier [Set6],Relentless Deadshot,Lifesteal Pay 3 and twist Relentless Deadshot to stun an enemy unit.
Spell,Uncommon,Dark Frontier [Set6],Reweave,Sacrifice a unit to play a unit from your deck with the same cost or less and Shift it.
Unit,Rare,The Fall of Argenport [Set4],Rilgon's Disciple,"When you play a spell, Rilgon's Disciple deals Double Damage this turn."
Spell,Common,The Empty Throne [Set0],Rolant's Favor,You gain 2 Armor. Draw a Justice Sigil from your deck.
Unit,Uncommon,The Fall of Argenport [Set4],Shamebearer,Pay 1 and sacrifice Shamebearer to play a -3 Strength Mark of Shame on an enemy unit.
